Hemisphere,Year,AnnualAvg
Global,1900,-0.07
Global,1901,-0.15
Global,1902,-0.27
Global,1903,-0.36
Global,1904,-0.46
Global,1905,-0.26
Global,1906,-0.22
Global,1907,-0.38
Global,1908,-0.42
Global,1909,-0.48
Global,1910,-0.43
Global,1911,-0.43
Global,1912,-0.35
Global,1913,-0.34
Global,1914,-0.15
Global,1915,-0.13
Global,1916,-0.35
Global,1917,-0.45
Global,1918,-0.29
Global,1919,-0.27
Global,1920,-0.27
Global,1921,-0.18
Global,1922,-0.28
Global,1923,-0.26
Global,1924,-0.27
Global,1925,-0.22
Global,1926,-0.1
Global,1927,-0.21
Global,1928,-0.2
Global,1929,-0.36
Global,1930,-0.16
Global,1931,-0.09
Global,1932,-0.16
Global,1933,-0.29
Global,1934,-0.12
Global,1935,-0.2
Global,1936,-0.15
Global,1937,-0.03
Global,1938,0
Global,1939,-0.02
Global,1940,0.13
Global,1941,0.18
Global,1942,0.07
Global,1943,0.09
Global,1944,0.2
Global,1945,0.09
Global,1946,-0.07
Global,1947,-0.03
Global,1948,-0.11
Global,1949,-0.11
Global,1950,-0.17
Global,1951,-0.07
Global,1952,0.01
Global,1953,0.08
Global,1954,-0.13
Global,1955,-0.14
Global,1956,-0.19
Global,1957,0.05
Global,1958,0.06
Global,1959,0.03
Global,1960,-0.03
Global,1961,0.06
Global,1962,0.03
Global,1963,0.05
Global,1964,-0.2
Global,1965,-0.11
Global,1966,-0.06
Global,1967,-0.02
Global,1968,-0.08
Global,1969,0.05
Global,1970,0.03
Global,1971,-0.08
Global,1972,0.01
Global,1973,0.16
Global,1974,-0.07
Global,1975,-0.01
Global,1976,-0.1
Global,1977,0.18
Global,1978,0.07
Global,1979,0.16
Global,1980,0.26
Global,1981,0.32
Global,1982,0.14
Global,1983,0.31
Global,1984,0.16
Global,1985,0.12
Global,1986,0.18
Global,1987,0.32
Global,1988,0.39
Global,1989,0.27
Global,1990,0.45
Global,1991,0.41
Global,1992,0.22
Global,1993,0.23
Global,1994,0.32
Global,1995,0.45
Global,1996,0.33
Global,1997,0.46
Global,1998,0.61
Global,1999,0.38
Global,2000,0.39
Global,2001,0.54
Global,2002,0.63
Global,2003,0.62
Global,2004,0.54
Global,2005,0.68
Global,2006,0.64
Global,2007,0.67
Global,2008,0.55
Global,2009,0.66
Global,2010,0.72
Global,2011,0.61
Global,2012,0.65
Global,2013,0.68
Global,2014,0.75
Global,2015,0.9
Global,2016,1.02
Global,2017,0.93
Global,2018,0.85
Global,2019,0.99
Global,2020,1.02
Northern,1900,-0.08
Northern,1901,-0.11
Northern,1902,-0.31
Northern,1903,-0.36
Northern,1904,-0.47
Northern,1905,-0.28
Northern,1906,-0.23
Northern,1907,-0.46
Northern,1908,-0.45
Northern,1909,-0.48
Northern,1910,-0.43
Northern,1911,-0.41
Northern,1912,-0.45
Northern,1913,-0.41
Northern,1914,-0.18
Northern,1915,-0.13
Northern,1916,-0.41
Northern,1917,-0.57
Northern,1918,-0.39
Northern,1919,-0.34
Northern,1920,-0.3
Northern,1921,-0.1
Northern,1922,-0.27
Northern,1923,-0.21
Northern,1924,-0.18
Northern,1925,-0.13
Northern,1926,0.02
Northern,1927,-0.13
Northern,1928,-0.1
Northern,1929,-0.33
Northern,1930,-0.01
Northern,1931,0.05
Northern,1932,-0.05
Northern,1933,-0.25
Northern,1934,0
Northern,1935,-0.09
Northern,1936,-0.03
Northern,1937,0.12
Northern,1938,0.16
Northern,1939,0.09
Northern,1940,0.18
Northern,1941,0.23
Northern,1942,0.13
Northern,1943,0.18
Northern,1944,0.27
Northern,1945,0.1
Northern,1946,0.03
Northern,1947,0.08
Northern,1948,-0.02
Northern,1949,-0.03
Northern,1950,-0.15
Northern,1951,0.04
Northern,1952,0.06
Northern,1953,0.24
Northern,1954,-0.02
Northern,1955,-0.09
Northern,1956,-0.23
Northern,1957,0.04
Northern,1958,0.15
Northern,1959,0.12
Northern,1960,0.08
Northern,1961,0.09
Northern,1962,0.13
Northern,1963,0.14
Northern,1964,-0.19
Northern,1965,-0.14
Northern,1966,-0.02
Northern,1967,0.03
Northern,1968,-0.07
Northern,1969,-0.03
Northern,1970,-0.04
Northern,1971,-0.15
Northern,1972,-0.17
Northern,1973,0.09
Northern,1974,-0.18
Northern,1975,-0.05
Northern,1976,-0.21
Northern,1977,0.12
Northern,1978,0.02
Northern,1979,0.08
Northern,1980,0.17
Northern,1981,0.37
Northern,1982,0.06
Northern,1983,0.25
Northern,1984,0.04
Northern,1985,0
Northern,1986,0.13
Northern,1987,0.25
Northern,1988,0.37
Northern,1989,0.27
Northern,1990,0.53
Northern,1991,0.41
Northern,1992,0.14
Northern,1993,0.19
Northern,1994,0.37
Northern,1995,0.58
Northern,1996,0.27
Northern,1997,0.52
Northern,1998,0.71
Northern,1999,0.48
Northern,2000,0.5
Northern,2001,0.64
Northern,2002,0.71
Northern,2003,0.75
Northern,2004,0.66
Northern,2005,0.86
Northern,2006,0.82
Northern,2007,0.86
Northern,2008,0.68
Northern,2009,0.73
Northern,2010,0.9
Northern,2011,0.75
Northern,2012,0.82
Northern,2013,0.8
Northern,2014,0.92
Northern,2015,1.18
Northern,2016,1.31
Northern,2017,1.18
Northern,2018,1.05
Northern,2019,1.22
Northern,2020,1.36
Southern,1900,-0.06
Southern,1901,-0.18
Southern,1902,-0.22
Southern,1903,-0.36
Southern,1904,-0.45
Southern,1905,-0.22
Southern,1906,-0.21
Southern,1907,-0.29
Southern,1908,-0.4
Southern,1909,-0.47
Southern,1910,-0.42
Southern,1911,-0.45
Southern,1912,-0.24
Southern,1913,-0.26
Southern,1914,-0.1
Southern,1915,-0.13
Southern,1916,-0.3
Southern,1917,-0.35
Southern,1918,-0.19
Southern,1919,-0.2
Southern,1920,-0.23
Southern,1921,-0.26
Southern,1922,-0.29
Southern,1923,-0.3
Southern,1924,-0.35
Southern,1925,-0.29
Southern,1926,-0.21
Southern,1927,-0.29
Southern,1928,-0.29
Southern,1929,-0.37
Southern,1930,-0.29
Southern,1931,-0.21
Southern,1932,-0.26
Southern,1933,-0.32
Southern,1934,-0.25
Southern,1935,-0.3
Southern,1936,-0.26
Southern,1937,-0.17
Southern,1938,-0.18
Southern,1939,-0.13
Southern,1940,0.09
Southern,1941,0.16
Southern,1942,0
Southern,1943,-0.01
Southern,1944,0.14
Southern,1945,0.09
Southern,1946,-0.17
Southern,1947,-0.13
Southern,1948,-0.2
Southern,1949,-0.19
Southern,1950,-0.2
Southern,1951,-0.18
Southern,1952,-0.03
Southern,1953,-0.07
Southern,1954,-0.25
Southern,1955,-0.2
Southern,1956,-0.16
Southern,1957,0.05
Southern,1958,-0.03
Southern,1959,-0.06
Southern,1960,-0.13
Southern,1961,0.03
Southern,1962,-0.07
Southern,1963,-0.03
Southern,1964,-0.2
Southern,1965,-0.07
Southern,1966,-0.09
Southern,1967,-0.07
Southern,1968,-0.09
Southern,1969,0.15
Southern,1970,0.09
Southern,1971,-0.02
Southern,1972,0.2
Southern,1973,0.23
Southern,1974,0.03
Southern,1975,0.02
Southern,1976,0.01
Southern,1977,0.24
Southern,1978,0.11
Southern,1979,0.25
Southern,1980,0.35
Southern,1981,0.27
Southern,1982,0.23
Southern,1983,0.38
Southern,1984,0.28
Southern,1985,0.23
Southern,1986,0.23
Southern,1987,0.4
Southern,1988,0.4
Southern,1989,0.27
Southern,1990,0.37
Southern,1991,0.4
Southern,1992,0.31
Southern,1993,0.28
Southern,1994,0.26
Southern,1995,0.32
Southern,1996,0.39
Southern,1997,0.41
Southern,1998,0.52
Southern,1999,0.28
Southern,2000,0.29
Southern,2001,0.43
Southern,2002,0.54
Southern,2003,0.5
Southern,2004,0.42
Southern,2005,0.5
Southern,2006,0.47
Southern,2007,0.48
Southern,2008,0.41
Southern,2009,0.6
Southern,2010,0.55
Southern,2011,0.47
Southern,2012,0.48
Southern,2013,0.56
Southern,2014,0.58
Southern,2015,0.63
Southern,2016,0.73
Southern,2017,0.67
Southern,2018,0.66
Southern,2019,0.75
Southern,2020,0.69
